Villiers,1629,2,Parc de Monceau - 75117,(NATION <-> PORTE DAUPHINE) - Aller
Villiers,1630,3,Parc de Monceau - 75117,(GALLIENI <-> PONT DE LEVALLOIS - BECON) - Aller
Volontaires,1632,12,25 rue des Volontaires - 75115,(MAIRIE D'ISSY <-> FRONT POPULAIRE) - Aller
Voltaire (Léon Blum),1633,9,Boulevard Voltaire - 75111,(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Aller
Wagram,1634,3,Place Monseigneur Loutil - 75117,(GALLIENI <-> PONT DE LEVALLOIS - BECON) - Aller
Danube,1635,7B,9 place Rhin et Danube - 75119,(PRE-SAINT-GERVAIS <-> LOUIS BLANC) - Aller
Trocadéro,1637,9,Place du Trocédéro - 75116,(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Aller
Varenne,1638,13,13 boulevard des Invalides - 75107,(CHATILLON - MONTROUGE <-> ST-DENIS-UNIVERSITE/LES COURTILLES) - Aller
Villejuif-Léo Lagrange,1639,7,Rue du Dauphin - 94076,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller
Saint-Jacques,1640,6,Terre-plein face au 46 boulevard Saint-Jacques - 75114,(NATION <-> CHARLES DE GAULLE - ETOILE) - Aller
Saint-Marcel,1641,5,La Pitié-Salpêtrière - 75113,(BOBIGNY - PABLO PICASSO <-> PLACE D'ITALIE) - Aller
Saint-Paul (Le Marais),1642,1,Rivoli (terre plein face au 10 rue de) - 75104,(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller
Quai de la Gare,1644,6,Quai de la Gare - 75113,(NATION <-> CHARLES DE GAULLE - ETOILE) - Aller
Raspail,1645,4,Boulevard Edgard Quinet - 75114,(PORTE DE CLIGNANCOURT <-> MAIRIE DE MONTROUGE) - Aller
Rennes,1646,12,Terre-plein face au 78 boulevard Raspail - 75106,(MAIRIE D'ISSY <-> FRONT POPULAIRE) - Aller
République,1647,9,Av de la République - 75111,(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Aller
Place d'Italie,1648,7,Place d' Italie - 75113,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller
Place Monge (Jardin des Plantes),1649,7,Arènes de Lutèce - 75105,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller
Nation,1651,9,Terre-plein face au 3 place de la Nation - 75112,(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Aller
Odéon,1653,10,Carrefour de l' Odéon - 75106,(BOULOGNE - PONT DE SAINT CLOUD <-> GARE D'AUSTERLITZ) - Aller
Marcadet-Poissonniers,1655,4,88 boulevard Barbès - 75118,(PORTE DE CLIGNANCOURT <-> MAIRIE DE MONTROUGE) - Aller
La Fourche,1656,13,Avenue de Clichy - 75117,(CHATILLON - MONTROUGE <-> ST-DENIS-UNIVERSITE/LES COURTILLES) - Aller
La Motte-Picquet-Grenelle,1657,6,Face au 130-113 boulevard de Grenelle - 75115,(NATION <-> CHARLES DE GAULLE - ETOILE) - Aller
Gambetta,1659,3B,Père-Lachaise - 75120,(PORTE DES LILAS <-> GAMBETTA) - Aller
Ségur,1661,10,UNESCO - Miollis - 75115,(BOULOGNE - PONT DE SAINT CLOUD <-> GARE D'AUSTERLITZ) - Aller
Sentier,1662,3,97 rue Réaumur - 75102,(GALLIENI <-> PONT DE LEVALLOIS - BECON) - Aller
Sèvres-Lecourbe,1665,6,Terre-plein face au 94 boulevard Garibaldi - 75115,(NATION <-> CHARLES DE GAULLE - ETOILE) - Aller
Sèvres-Babylone,1666,10,Square Boucicaut - 75107,(BOULOGNE - PONT DE SAINT CLOUD <-> GARE D'AUSTERLITZ) - Aller
Sèvres-Babylone,1667,12,Square Boucicaut - 75107,(MAIRIE D'ISSY <-> FRONT POPULAIRE) - Aller
Simplon,1668,4,38 boulevard Ornano - 75118,(PORTE DE CLIGNANCOURT <-> MAIRIE DE MONTROUGE) - Aller
Solférino,1669,12,Rue de Solférino - 75107,(MAIRIE D'ISSY <-> FRONT POPULAIRE) - Aller
Stalingrad,1674,2,Bassin de la Villette - 75119,(NATION <-> PORTE DAUPHINE) - Aller
Stalingrad,1675,5,Bassin de la Villette - 75119,(BOBIGNY - PABLO PICASSO <-> PLACE D'ITALIE) - Aller
Stalingrad,1676,7,Bassin de la Villette - 75119,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller
Strasbourg-Saint-Denis,1677,4,Porte Saint-Martin - 75102,(PORTE DE CLIGNANCOURT <-> MAIRIE DE MONTROUGE) - Aller
Strasbourg-Saint-Denis,1678,9,Porte Saint-Martin - 75102,(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Aller
Sully-Morland,1681,7,Préfecture de Paris - 75104,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller
Télégraphe,1682,11,Rue de Belleville - 75120,(MAIRIE DES LILAS <-> CHATELET) - Aller
Temple,1683,3,Rue du Temple - 75103,(GALLIENI <-> PONT DE LEVALLOIS - BECON) - Aller
Ternes,1684,2,Salle Pleyel - 75117,(NATION <-> PORTE DAUPHINE) - Aller
Tolbiac,1685,7,Avenue d'Italie - 75113,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller
Trinité-d'Estienne d'Orves,1686,12,50 rue de Chateaudun - 75109,(MAIRIE D'ISSY <-> FRONT POPULAIRE) - Aller
Trocadéro,1687,6,Place du Trocédéro - 75116,(NATION <-> CHARLES DE GAULLE - ETOILE) - Aller
Tuileries,1688,1,210 rue de Rivoli - 75101,(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller
Vaneau,1690,10,97 rue de Sèvres - 75107,(BOULOGNE - PONT DE SAINT CLOUD <-> GARE D'AUSTERLITZ) - Aller
Vaugirard (Adolphe Chérioux),1691,12,Square de Vergenne - 75115,(MAIRIE D'ISSY <-> FRONT POPULAIRE) - Aller
Vavin,1692,4,108 boulevard du Montparnasse - 75106,(PORTE DE CLIGNANCOURT <-> MAIRIE DE MONTROUGE) - Aller
Victor Hugo,1694,2,4 place Victor Hugo - 75116,(NATION <-> PORTE DAUPHINE) - Aller
Villejuif-Louis Aragon,1695,7,Boulevard Maxime Gorky - 94076,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller
Villejuif-Paul Vaillant Couturier (Hôpital Paul Brousse),1696,7,Boulevard Maxime Gorky - 94076,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller
Reuilly-Diderot,1698,1,Boulevard Diderot - 75112,(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller
Richard-Lenoir,1700,5,Boulevard Richar Lenoir - 75111,(BOBIGNY - PABLO PICASSO <-> PLACE D'ITALIE) - Aller
Richelieu-Drouot,1702,9,Rue Marivaux - 75109,(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Aller
Riquet,1703,7,Avenue de Flandre - 75119,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller
Robespierre,1704,9,185 rue de Paris - 93048,(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Aller
Rome,1707,2,60 boulevard des Batignolles - 75117,(NATION <-> PORTE DAUPHINE) - Aller
Rue de la Pompe (Avenue Georges Mandel),1708,9,56 avenue Georges Mandel - 75116,(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Aller
Rue des Boulets,1709,9,232 boulevard Voltaire - 75111,(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Aller
Rue du Bac,1710,12,Terre-plein face au 2 boulevard Raspail - 75107,(MAIRIE D'ISSY <-> FRONT POPULAIRE) - Aller
Grands Boulevards,1712,9,Musée Grévin - 75109,(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Aller
Saint-Ambroise,1714,9,86 boulevard Voltaire - 75111,(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Aller
Saint-Augustin,1715,9,Église Saint-Augustin - 75108,(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Aller
Basilique de Saint-Denis,1716,13,Place du Cacquet - 93066,(CHATILLON - MONTROUGE <-> ST-DENIS-UNIVERSITE/LES COURTILLES) - Aller
Saint-Denis - Porte de Paris,1717,13,Stade de France - 93066,(CHATILLON - MONTROUGE <-> ST-DENIS-UNIVERSITE/LES COURTILLES) - Aller
Saint-Fargeau,1718,3B,112 avenue Gambetta - 75120,(PORTE DES LILAS <-> GAMBETTA) - Aller
Saint-François-Xavier,1719,13,Avenue de Villars - 75107,(CHATILLON - MONTROUGE <-> ST-DENIS-UNIVERSITE/LES COURTILLES) - Aller
Saint-Georges,1720,12,Place Saint-Georges - 75109,(MAIRIE D'ISSY <-> FRONT POPULAIRE) - Aller
Saint-Germain des Prés,1721,4,Ecole des Beaux Arts - 75106,(PORTE DE CLIGNANCOURT <-> MAIRIE DE MONTROUGE) - Aller
Saint-Lazare,1722,3,Rue de l' Arcade - 75108,(GALLIENI <-> PONT DE LEVALLOIS - BECON) - Aller
Saint-Lazare,1723,12,Rue de l' Arcade - 75108,(MAIRIE D'ISSY <-> FRONT POPULAIRE) - Aller
